sector,year_month,avg_close,total_volume,avg_return,num_companies
Automobile,2020-01,279.5119804382324,10828730,-0.07245501265749102,4
Automobile,2020-02,263.30346853521803,8745065,-0.3287853560671647,4
Automobile,2020-03,228.8727227124301,9165903,-1.5080912629926801,4
Automobile,2020-04,204.93144335691957,14547792,0.7204567102686861,4
Automobile,2020-05,241.45627391769224,32481549,0.5241168872802849,4
Automobile,2020-06,239.02432446046308,58290533,0.07993933547894874,4
Automobile,2020-07,297.67896237216155,89744787,1.1498476320116613,4
Automobile,2020-08,335.3143421354748,69650726,0.31458801406651227,4
Automobile,2020-09,333.1549025787704,35529208,-0.2796086577782513,4
Automobile,2020-10,315.0428687875921,40714024,0.2939589777816975,4
Automobile,2020-11,311.05694212396463,29385295,-0.0029965903148862034,4
Automobile,2020-12,327.70618648319453,71695788,0.5999945209601583,4
Automobile,2021-01,333.1391943024426,34279916,-0.014016167155388627,4
Automobile,2021-02,340.18967862672446,62111405,0.31548728389745867,4
Automobile,2021-03,330.1708904763927,40385310,0.26752995533989044,4
Automobile,2021-04,346.19358623986955,23759023,-0.4827785408814953,4
Automobile,2021-05,344.8643532258919,16801754,0.5126246603135703,4
Automobile,2021-06,389.1991266770796,34560094,0.22444301455110283,4
Automobile,2021-07,386.66655266421964,17247399,-0.10046964234661966,4
Automobile,2021-08,395.88946264440364,10702654,0.10834962437886757,4
Automobile,2021-09,370.90769940957256,13657830,-0.6302722826278218,4
Automobile,2021-10,339.2962704613095,13172577,0.09152906094915617,4
Automobile,2021-11,364.25113695517354,17547724,-0.060541881197020773,4
Automobile,2021-12,360.7604733142224,14274599,-0.04195015875142382,4
Automobile,2022-01,369.5099976321301,7685377,-0.014320103921022452,4
Automobile,2022-02,388.94131006168413,8819683,0.17542103552855262,4
Automobile,2022-03,380.2654838562012,8067791,-0.05063073234232249,4
Automobile,2022-04,400.338798247188,7439040,0.05280422792725752,4
Automobile,2022-05,394.0506487440789,9894922,-0.12429739866974704,4
Automobile,2022-06,378.76395924886066,11493692,-0.009177409532024556,4
Automobile,2022-07,363.9646894156215,7426947,-0.5904200183212485,4
Automobile,2022-08,346.3236750312473,10050775,0.253104941781482,4
Automobile,2022-09,328.84510829530916,7512756,-0.12134027468145604,4
Automobile,2022-10,323.76168718792144,6181659,-0.4366849977781704,4
Automobile,2022-11,320.4202388894969,6470297,0.22805505863046732,4
Automobile,2022-12,308.4797609701924,14142874,-0.35791376643150113,4
Automobile,2023-01,290.6790994599808,7616839,-0.3716410533416321,4
Automobile,2023-02,281.8605749878702,15740360,0.18685634381897184,4
Automobile,2023-03,287.3520632204802,14657977,-0.2279759859575728,4
Automobile,2023-04,291.8554463446895,9103038,0.3010568284116503,4
